# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
5e-06,45,64.09936
3.2e-05,41,64.170622
0.00032,40,64.237624
4.7e-05,44,64.336659
2e-06,32,64.394475
0.0,53,64.470212
0.0,37,64.611677
7.1e-05,33,64.660757
4.8e-05,26,64.70042
1.8e-05,22,64.731704
3.7e-05,53,64.819845
0.000339,47,64.894274
0.000125,25,64.932698
0.000168,28,65.057856
1e-06,53,65.152107
1e-06,34,65.226371
0.000343,28,65.276474
0.0,42,65.349886
5.8e-05,32,65.41132
3.9e-05,43,65.487171
3.1e-05,34,65.62531
0.000497,29,65.677149
0.000175,28,65.732152
1e-06,27,65.783764
0.00032,48,65.919548
2.5e-05,39,65.99203
2e-06,40,66.060251
0.000436,35,66.201339
2e-06,44,66.278797
0.000165,37,66.333354
1.1e-05,33,66.382262
8.8e-05,62,66.478063
0.000237,33,66.528965
0.000164,30,66.574243
2e-06,33,66.699925
7.5e-05,28,66.740951
0.0,36,66.794587
3e-06,29,66.840188
0.0,24,66.877349
0.00027,46,66.944518
1e-06,32,66.99639
1.6e-05,28,67.04023
6.7e-05,40,67.171639
1e-06,24,67.209921
1e-06,25,67.248827
9.2e-05,33,67.29699
1e-06,56,67.379816
0.000207,37,67.43735
0.000213,43,67.508916
4.4e-05,45,67.650177
0.000159,46,67.72251
0.0,24,67.759071
1e-06,42,67.826945
1.6e-05,31,67.87977
0.000176,34,67.931576
5e-05,40,67.993319
1e-06,26,68.100678
2.3e-05,38,68.158016
0.0001,49,68.229808
4.2e-05,51,68.323499
1e-06,32,68.381682
3.9e-05,34,68.441026
6.1e-05,30,68.48659
0.0,30,68.607211
1e-06,38,68.663831
0.000196,44,68.738735
0.000697,30,68.791569
0.0,44,68.873948
2.9e-05,42,68.946172
6e-06,44,69.102725
3.4e-05,46,69.175138
0.000771,25,69.210982
2.1e-05,31,69.255013
1.4e-05,47,69.323325
3e-06,29,69.372458
7e-06,39,69.439288
0.00015,43,69.574868
9e-06,37,69.627651
0.0,40,69.688187
4e-06,32,69.741767
4.1e-05,42,69.805609
0.000186,52,69.881698
0.000104,30,69.924487
1e-06,25,70.036187
9e-06,35,70.086608
5e-06,63,70.183344
5e-06,34,70.24035
0.000455,37,70.305029
4e-06,31,70.365755
0.00014,34,70.4258
2.9e-05,22,70.53948
6.1e-05,39,70.596563
2.3e-05,33,70.643496
2e-06,32,70.690197
0.000347,26,70.727558
7e-06,39,70.797673
0.000386,39,70.865143
2e-06,24,70.908291
0.0,48,71.057047
2e-06,43,71.123664
8.6e-05,46,71.209385
5e-06,46,71.289343
9.2e-05,45,71.355167
1.3e-05,25,71.396864
0.000122,57,71.553011
1e-06,36,71.607303
5e-06,36,71.66628
0.000196,26,71.712204
1e-06,38,71.777942
3e-06,38,71.845898
0.000169,39,72.01438
0.0,30,72.059408
0.000323,30,72.103188
0.000115,21,72.138595
9e-06,34,72.198375
0.0,63,72.303775
0.000136,50,72.375882
0.00018,29,72.490002
3.1e-05,42,72.553067
4e-05,41,72.61565
3.4e-05,32,72.662669
2e-06,34,72.714535
0.000136,36,72.767986
0.000334,24,72.804945
6.8e-05,50,72.961232
0.000126,35,73.024377
2.3e-05,38,73.089164
2e-06,53,73.180599
0.0,26,73.22526
4.4e-05,43,73.300786
